Year,Month,Day,Wholesaler (3MPa Area),Household use (3MPa Area),Business use (3MPa Area),Industrial use (3MPa Area),Power Gen use (3MPa Area),Wholesaler (7MPa Area),Household use (7MPa Area),Business use (7MPa Area),Industrial use (7MPa Area),Power Gen use (7MPa Area),3M Power Plant1,3M Power Plant2,7M Power Plant1
2023,4,14,1198.046135,1996.743558,1597.394846,3993.487116,397.31851,1411.982944,2353.304907,1882.643926,4706.609815,468.268243,1901.611765,475.402941,2241.185294
2023,4,15,1026.930614,1711.551023,1369.240818,3423.102046,935.778777,1210.311081,2017.185134,1613.748107,4034.370269,1102.88213,2063.723529,515.930882,2432.245588
2023,4,16,967.844267,1613.073779,1290.459023,3226.147557,552.901604,1140.673601,1901.122668,1520.898134,3802.245335,651.634033,1722.823529,430.705882,2030.470588
2023,4,17,1291.791662,2152.986103,1722.388883,4305.972207,606.172621,1522.468744,2537.447907,2029.958326,5074.895815,714.417732,2003.852941,500.963235,2361.683824
2023,4,18,1332.069111,2220.115185,1776.092148,4440.230371,790.935807,1569.938595,2616.564326,2093.251461,5233.128651,932.174344,2197.382353,549.345588,2589.772059
2023,4,19,1240.161637,2066.936061,1653.548849,4133.872123,1001.409199,1461.619072,2436.031787,1948.825429,4872.063573,1180.23227,2086.535294,521.633824,2459.130882
2023,4,20,1168.53846,1947.5641,1558.05128,3895.1282,717.308124,1377.206042,2295.343404,1836.274723,4590.686807,845.39886,1898.029412,474.507353,2236.963235
2023,4,21,1115.469108,1859.11518,1487.292144,3718.23036,682.444027,1314.66002,2191.100034,1752.880027,4382.200067,804.309032,1711.417647,427.854412,2017.027941
2023,4,22,1047.50599,1745.843316,1396.674653,3491.686633,706.997604,1234.560631,2057.601052,1646.080841,4115.202103,833.247176,1231.423529,307.855882,1451.320588
2023,4,23,1030.338862,1717.231437,1373.78515,3434.462875,584.791512,1214.327945,2023.879908,1619.103927,4047.759817,689.218567,1244.805882,311.201471,1467.092647
2023,4,24,1161.45375,1935.75625,1548.605,3871.512499,862.580698,1368.856205,2281.427008,1825.141607,4562.854017,1016.612966,1578.788235,394.697059,1860.714706
2023,4,25,1324.703466,2207.839111,1766.271288,4415.678221,1072.393159,1561.257657,2602.096095,2081.676876,5204.192189,1263.891938,1820.411765,455.102941,2145.485294
2023,4,26,1293.335464,2155.559107,1724.447285,4311.118213,1249.225177,1524.288225,2540.480376,2032.384301,5080.960751,1472.301101,1920.429412,480.107353,2263.363235
2023,4,27,1192.36315,1987.271917,1589.817534,3974.543834,784.954384,1405.285141,2342.141902,1873.713522,4684.283805,925.12481,1518.794118,379.698529,1790.007353
2023,4,28,1047.897082,1746.495137,1397.19611,3492.990274,822.693529,1235.021561,2058.369268,1646.695415,4116.738537,969.603087,1278.652941,319.663235,1506.983824
2023,4,29,795.54506,1325.908433,1060.726747,2651.816866,845.793058,937.606678,1562.677796,1250.142237,3125.355593,996.827532,1208.364706,302.091176,1424.144118
2023,4,30,789.445595,1315.742658,1052.594126,2631.485315,1039.610995,930.418022,1550.696704,1240.557363,3101.393407,1225.255816,1665.094118,416.273529,1962.432353
2023,5,1,958.132916,1596.888193,1277.510555,3193.776387,860.46572,1129.22808,1882.046799,1505.637439,3764.093598,1014.120313,1538.805882,384.701471,1813.592647
2023,5,2,944.593956,1574.32326,1259.458608,3148.646519,992.387494,1113.271448,1855.452413,1484.36193,3710.904826,1169.599547,1208.941176,302.235294,1424.823529
2023,5,3,792.106276,1320.177127,1056.141702,2640.354255,968.230476,933.553826,1555.923043,1244.738434,3111.846086,1141.128775,1348.858824,337.214706,1589.726471
2023,5,4,793.549569,1322.582615,1058.066092,2645.165229,1027.416823,935.254849,1558.758082,1247.006465,3117.516163,1210.884113,931.329412,232.832353,1097.638235
2023,5,5,776.776693,1294.627821,1035.702257,2589.255642,1058.017916,915.486816,1525.81136,1220.649088,3051.622721,1246.949687,1389.747059,347.436765,1637.916176
2023,5,6,724.087388,1206.812313,965.44985,2413.624626,883.763528,853.388707,1422.314512,1137.851609,2844.629023,1041.578444,1367.264706,341.816176,1611.419118
2023,5,7,773.161449,1288.602416,1030.881933,2577.204832,1116.477239,911.225994,1518.70999,1214.967992,3037.41998,1315.848175,1647.676471,411.919118,1941.904412
2023,5,8,930.029973,1550.049955,1240.039964,3100.09991,1170.47528,1096.106754,1826.84459,1461.475672,3653.68918,1379.488723,2136.935294,534.233824,2518.530882
2023,5,9,1035.661096,1726.101826,1380.881461,3452.203653,820.115899,1220.600577,2034.334295,1627.467436,4068.66859,966.565167,1424.870588,356.217647,1679.311765
2023,5,10,1114.309999,1857.183332,1485.746666,3714.366664,853.757273,1313.293928,2188.823213,1751.05857,4377.646426,1006.213929,1447.6,361.9,1706.1
2023,5,11,1123.577912,1872.629854,1498.103883,3745.259708,910.828642,1324.216825,2207.028042,1765.622434,4414.056085,1073.476614,1796.2,449.05,2116.95
2023,5,12,1151.352356,1918.920594,1535.136475,3837.841188,944.139551,1356.950991,2261.584986,1809.267989,4523.169971,1112.735899,1392.547059,348.136765,1641.216176
2023,5,13,908.491235,1514.152058,1211.321646,3028.304116,1107.455535,1070.721812,1784.536354,1427.629083,3569.072708,1305.215452,1934.511765,483.627941,2279.960294
2023,5,14,936.756199,1561.260332,1249.008265,3122.520663,1052.664377,1104.034092,1840.056819,1472.045456,3680.113639,1240.640159,1415.605882,353.901471,1668.392647
2023,5,15,1136.165385,1893.608975,1514.88718,3787.217949,1185.412315,1339.052061,2231.753434,1785.402748,4463.506869,1397.093085,1787.017647,446.754412,2106.127941
